MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method	ProjectID
4547375.3	D6Supra_Reads	"90,248,302"	"752,998"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547376.3	D7Saliva_Reads	"69,583,782"	"684,738"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547377.3	D7Sub_Reads	"61,838,046"	"447,143"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547378.3	D7Supra_Reads	"139,890,201"	"1,021,663"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547379.3	H1Saliva_Reads	"60,375,726"	"670,264"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547381.3	H1Supra_Reads	"78,891,883"	"452,059"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547382.3	H2Saliva_Reads	"51,384,710"	"526,835"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547383.3	H2Sub_Reads	"89,744,807"	"508,564"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547384.3	H2Supra_Reads	"105,748,317"	"607,071"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547385.3	H3Saliva_Reads	"41,698,828"	"464,821"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547386.3	H3Sub_Reads	"117,488,561"	"725,887"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547387.3	H3Supra_Reads	"121,876,246"	"705,626"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547388.3	H4Saliva_Reads	"152,358,356"	"827,550"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547389.3	H4Sub_Reads	"36,963,836"	"271,708"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547390.3	H4Supra_Reads	"57,949,204"	"464,196"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547391.3	H5Saliva_Reads	"91,074,381"	"480,216"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547392.3	H5Sub_Reads	"52,590,238"	"380,660"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547393.3	H5Supra_Reads	"72,408,058"	"518,878"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547394.3	H6Saliva_Reads	"150,477,584"	"864,231"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547395.3	H6Sub_Reads	"48,642,813"	"376,097"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547396.3	H6Supra_Reads	"69,886,238"	"475,119"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547397.3	H7Saliva_Reads	"114,728,070"	"593,346"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547398.3	H7Sub_Reads	"92,547,662"	"481,823"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547399.3	H7Supra_Reads	"90,538,415"	"452,144"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547400.3	H8Saliva_Reads	"148,340,550"	"1,055,618"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547401.3	H8Sub_Reads	"120,536,647"	"705,208"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547402.3	H8Supra_Reads	"132,345,586"	"795,191"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547403.3	H9Saliva_Reads	"42,643,339"	"474,305"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547404.3	H9Sub_Reads	"88,366,338"	"573,903"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547405.3	H9Supra_Reads	"94,508,297"	"636,684"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	WGS	ion torrent	7236
4547630.3	D1Saliva_16S	"1,872,243"	"9,864"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547631.3	D1subgingival_16S	"3,170,754"	"18,845"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547632.3	D1supragingival_16S	"2,275,888"	"13,303"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547633.3	D2Saliva_16S	"2,929,555"	"14,579"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547634.3	D2subgingival_16S	"2,259,624"	"13,270"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547635.3	D2supragingival_16S	"2,230,723"	"13,179"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547636.3	D3Saliva_16S	"3,140,186"	"17,342"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547637.3	D3subgingival_16S	"3,960,899"	"25,076"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547638.3	D3supragingival_16S	"2,134,345"	"13,056"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547639.3	D4Saliva_16S	"1,070,706"	"5,929"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547640.3	D4subgingival_16S	"3,626,177"	"21,547"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547641.3	D4supragingival_16S	"1,567,550"	"9,254"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547642.3	D5Saliva_16S	"2,084,568"	"11,195"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547643.3	D5subgingival_16S	"1,447,260"	"8,462"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547644.3	D5supragingival_16S	"1,019,625"	"5,923"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547645.3	D6Saliva_16S	"4,624,253"	"26,593"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547646.3	D6subgingival_16S	"3,096,646"	"18,737"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547647.3	D6supragingival_16S	"3,291,425"	"19,220"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547648.3	D7subgingival_16S	"9,459,131"	"56,238"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547649.3	D7supragingival_16S	"4,839,298"	"28,461"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547650.3	H1Saliva_16S	"3,977,414"	"21,638"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547651.3	H1subgingival_16S	"7,409,428"	"45,372"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547652.3	H1supragingival_16S	"6,317,947"	"38,153"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547653.3	H2Saliva_16S	"2,281,700"	"12,986"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547654.3	H2subgingival_16S	"12,443,877"	"72,363"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547655.3	H2supragingival_16S	"9,410,157"	"55,055"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547656.3	H3Saliva_16S	"1,238,407"	"7,466"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547657.3	H3subgingival_16S	"3,680,823"	"21,462"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547658.3	H3supragingival_16S	"3,286,306"	"19,031"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547659.3	H4Saliva_16S	"1,704,738"	"10,288"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547660.3	H4subgingival_16S	"1,355,029"	"8,043"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547661.3	H4supragingival_16S	"1,455,681"	"8,701"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547662.3	H5Saliva_16S	"2,199,405"	"13,479"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547663.3	H5subgingival_16S	"1,053,378"	"6,243"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547664.3	H5supragingival_16S	"1,959,391"	"12,012"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547665.3	H6Saliva_16S	"1,509,517"	"7,509"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547666.3	H6subgingival_16S	"5,363,020"	"31,951"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547667.3	H6supragingival_16S	"2,346,842"	"13,754"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547668.3	H7Saliva_16S	"938,461"	"5,565"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547669.3	H7subgingival_16S	"4,058,529"	"24,779"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547670.3	H7supragingival_16S	"1,109,842"	"6,336"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547671.3	H8Saliva_16S	"842,081"	"4,299"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547672.3	H8subgingival_16S	"2,739,639"	"16,037"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547673.3	H8supragingival_16S	"1,623,719"	"9,553"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547674.3	H9Saliva_16S	"2,799,002"	"15,004"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547675.3	H9subgingival_16S	"1,725,151"	"10,269"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547676.3	H9supragingival_16S	"2,264,766"	"13,116"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
4547677.3	D7Saliva_16S	"2,799,780"	"13,845"	terrestrial biome	human-associated habitat	saliva	California	United States of America	"32.8774915, -117.2352765"	Amplicon	ion torrent	7236
