PhageHit	SpecificBacterialID	AccNumber NOTES
Streptococcus pneumoniae Laboratory collection 15	Streptococcus pneumoniae ST556	CP003357	NotSpecificButGettingRepSeq
Streptococcus pneumoniae Laboratory collection 15	Streptococcus pneumoniae A026	CP006844	NotSpecificButGettingRepSeq
Streptococcus pneumoniae Laboratory collection 15	Streptococcus pneumoniae INV200	FQ312029	NotSpecificButGettingRepSeq
Streptococcus pneumoniae isolate K13-810	Streptococcus pneumoniae ST556	CP003357	NotSpecificButGettingRepSeq
Streptococcus pneumoniae isolate K13-810	Streptococcus pneumoniae A026	CP006844	NotSpecificButGettingRepSeq
Streptococcus pneumoniae isolate K13-810	Streptococcus pneumoniae INV200	FQ312029	NotSpecificButGettingRepSeq
Streptococcus salivarius Laboratory collection 65	Streptococcus salivarius strain NCTC 8618	CP009913	NotSpecificButGettingRepSeq
Streptococcus salivarius Laboratory collection 65	Streptococcus salivarius CCHSS3	FR873481	NotSpecificButGettingRepSeq
Thermus thermophilus HB27	Thermus thermophilus HB27	AE017221	PerfectMatch
Vibrio alginolyticus VIB20	NA	NA	NothingHelpfulForThisBacterium
Vibrio natriegens ATCC 14048	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 1	CP009977	NotSpecificButGettingRepSeq;MergeWithNext
Vibrio natriegens ATCC 14048	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 2	CP009978	NotSpecificButGettingRepSeq;MergeWithPrevious
Vibrio nereis ATCC 25917	NA	NA	NothingHelpfulForThisBacterium
Vibrio parahaemolyticus VIB8	Vibrio parahaemolyticus strain FORC_006 chromosome 1	CP009765	NotSpecificButGettingRepSeq;MergeWithNext
Vibrio parahaemolyticus VIB8	Vibrio parahaemolyticus strain FORC_006 chromosome 2	CP009766	NotSpecificButGettingRepSeq;MergeWithPrevious
Vibrio vulnificus ATCC 27562	Vibrio vulnificus strain FORC_009 chromosome 1	CP009984	NotSpecificButGettingRepSeq;MergeWithNext
Vibrio vulnificus ATCC 27562	Vibrio vulnificus strain FORC_009 chromosome 2	CP009985	NotSpecificButGettingRepSeq;MergeWithPrevious
Xylella fastidiosa	Xylella fastidiosa 9a5c	AE003849	NotSpecificButGettingRepSeq
Xylella fastidiosa	Xylella fastidiosa Temecula1	AE009442	NotSpecificButGettingRepSeq
Xylella fastidiosa	Xylella fastidiosa M12	CP000941	NotSpecificButGettingRepSeq
