contig-100_474_1	9	ERR843912
contig-100_17_6	2	ERR843912
contig-100_5_7	42	ERR843912
contig-100_11_21	5	ERR843912
contig-100_5_4	22	ERR843912
contig-100_38_4	6	ERR843912
contig-100_3_15	5	ERR843912
contig-100_100_1	3	ERR843912
contig-100_365_2	1	ERR843912
contig-100_5_32	13	ERR843912
contig-100_7_14	12	ERR843912
contig-100_97_1	1	ERR843912
contig-100_272_1	4	ERR843912
contig-100_11_22	10	ERR843912
contig-100_17_9	2	ERR843912
contig-100_61_1	3	ERR843912
contig-100_134_1	3	ERR843912
contig-100_38_1	31	ERR843912
contig-100_15_2	89821	ERR843912
contig-100_40_1	3	ERR843912
contig-100_169_1	1005	ERR843912
contig-100_39_3	9	ERR843912
contig-100_6_2	139	ERR843912
contig-100_14_4	162	ERR843912
contig-100_2_6	54	ERR843912
contig-100_4_1	5	ERR843912
contig-100_10_8	9	ERR843912
contig-100_80_1	6	ERR843912
contig-100_76_1	1	ERR843912
contig-100_74_4	1	ERR843912
contig-100_15_13	13777	ERR843912
contig-100_18_6	147	ERR843912
contig-100_6_5	3	ERR843912
contig-100_25_4	14	ERR843912
contig-100_7_34	373	ERR843912
contig-100_92_2	5	ERR843912
contig-100_22_2	133	ERR843912
contig-100_32_2	44	ERR843912
contig-100_0_25	36	ERR843912
contig-100_150_5	1	ERR843912
contig-100_0_74	2	ERR843912
contig-100_9_5	15	ERR843912
contig-100_125_4	51	ERR843912
contig-100_1_24	8	ERR843912
contig-100_9_1	4	ERR843912
contig-100_35_4	3	ERR843912
contig-100_4_24	1	ERR843912
contig-100_3_10	17	ERR843912
contig-100_21_5	61	ERR843912
contig-100_0_33	63	ERR843912
contig-100_39_4	1	ERR843912
contig-100_106_4	46	ERR843912
contig-100_52_6	1	ERR843912
contig-100_18_10	19	ERR843912
contig-100_127_1	14976	ERR843912
contig-100_11_7	23	ERR843912
contig-100_18_7	42	ERR843912
contig-100_43_7	45	ERR843912
contig-100_13_11	43	ERR843912
contig-100_31_1	27752	ERR843912
contig-100_7_11	2	ERR843912
contig-100_0_8	17	ERR843912
contig-100_186_1	1	ERR843912
contig-100_24_1	4	ERR843912
contig-100_23_8	15	ERR843912
contig-100_108_2	4	ERR843912
contig-100_78_2	4	ERR843912
contig-100_150_2	9	ERR843912
contig-100_69_1	28	ERR843912
contig-100_251_1	8	ERR843912
contig-100_44_2	122	ERR843912
contig-100_42_8	3	ERR843912
contig-100_34_8	24	ERR843912
contig-100_38_3	68	ERR843912
contig-100_30_6	4	ERR843912
contig-100_42_1	54	ERR843912
contig-100_12_5	100	ERR843912
contig-100_36_6	3	ERR843912
contig-100_13_3	205	ERR843912
contig-100_1_16	24	ERR843912
contig-100_70_1	3	ERR843912
contig-100_50_7	21	ERR843912
contig-100_3_5	3	ERR843912
contig-100_26_1	3	ERR843912
contig-100_38_8	10	ERR843912
contig-100_7_44	19	ERR843912
