V1	sum
k101_104306	489
k101_104326	3767
k101_104344	386
k101_104350	366
k101_104351	92
k101_10436	50
k101_104372	94
k101_104380	243
k101_104384	263
k101_10439	142
k101_104407	13
k101_104418	79
k101_104439	87
k101_104441	147
k101_10445	127
k101_104458	116
k101_104472	686
k101_10448	93
k101_104481	140
k101_104482	228
k101_104483	87
k101_104484	157
k101_104488	381
k101_104489	350
k101_104500	92
k101_10451	2406
k101_104511	108
k101_104512	185
k101_104514	211
k101_104541	70
k101_104558	188
k101_10456	40
k101_104575	399
k101_104580	697
k101_104586	71
k101_104609	560
k101_10461	58
k101_104616	84
k101_104620	55
k101_104627	1274
k101_10463	233
k101_10464	224
k101_104643	86
k101_10465	1196
k101_104657	12730
k101_10467	133
k101_104685	24
k101_104686	142
k101_104696	146
k101_10470	35
k101_104710	125
k101_104719	55
k101_104726	28
k101_104728	8316
k101_10473	1281
k101_104730	240
k101_104732	62
k101_104754	55
k101_104760	58
k101_104767	973
k101_104773	91
k101_104776	40
k101_104780	91
k101_104786	36
k101_104792	101
k101_104800	166
k101_10482	60
k101_104823	203
k101_104828	244
k101_104834	50
k101_10484	1670
k101_104886	138
k101_104889	199
k101_104893	48
k101_104895	25
k101_104899	210
k101_104906	58
k101_104907	133
k101_104911	72
k101_104914	24
k101_104916	119
k101_10493	55
k101_104941	77
k101_104947	205
k101_10498	261
k101_104985	65
k101_104993	33
k101_105001	504
k101_105008	97
k101_105013	104
k101_105034	20
k101_105061	113
k101_105073	29
k101_105081	21
k101_105098	43
k101_105100	483
k101_105115	95
k101_105116	27
k101_105120	144
k101_105123	102
k101_105130	43
k101_105132	1214
k101_105133	54
k101_105138	185
k101_105142	19
k101_105150	32
k101_105157	149
k101_105160	116
k101_10517	63
k101_105171	122
k101_105174	199
k101_105175	252
k101_105176	286
k101_10519	303
k101_105204	40
k101_10523	32
k101_10524	258
k101_105241	95
k101_105250	536
k101_10526	11013
k101_105260	53
k101_105270	526
k101_105292	54
k101_105298	143
k101_105304	425
k101_105310	32
k101_105327	43
k101_105332	135
k101_105343	73
k101_105351	91
k101_105362	15054
k101_105373	18352
k101_105374	55
k101_10538	82
k101_105382	71
k101_105388	25
k101_105399	397
k101_1054	225
k101_10540	147
k101_105402	23
k101_105404	76
k101_10541	38
k101_105413	136
k101_10542	288
k101_105428	934
k101_105449	40
k101_10545	158
k101_105456	184
k101_105465	218
k101_105468	553
k101_105480	63
k101_105484	148
k101_1055	68
k101_105504	55
k101_105508	712
k101_105516	402
k101_10552	23
k101_105524	545133
k101_10554	135
k101_105547	91
k101_10555	551
k101_105583	235
k101_105597	127
k101_105602	383
k101_105605	40
k101_105606	127
k101_105614	149
k101_105629	34
k101_10563	224
k101_105632	23
k101_105633	25
k101_105638	64
k101_10565	225
k101_105653	99
k101_105654	933
k101_1057	228
k101_105728	78
k101_105736	4239
k101_105737	43
k101_105754	158
k101_105755	144
k101_105764	25
k101_105774	66
k101_105776	64
k101_10578	193
k101_105786	312
k101_10579	183
k101_105793	44
k101_10581	46
k101_105820	84
k101_105825	202
k101_105828	6976
k101_10585	133
k101_105851	43
k101_105854	56
k101_105857	91
k101_105860	98
k101_105864	330
k101_10587	83
k101_105875	98
k101_105880	559
k101_105881	335
k101_105884	141
k101_105888	53
k101_10589	227
k101_10590	528
k101_105919	474
k101_10592	92
k101_105923	56
k101_10597	207
k101_105979	54
k101_105996	396
k101_105998	73
k101_10601	193
k101_106011	603
k101_106012	228
k101_106016	3643
k101_106018	121
k101_106027	148
k101_106043	40
k101_10606	49
k101_106060	102
k101_106066	240
k101_106069	134
k101_106081	90
k101_106084	230
k101_10609	120
k101_1061	40
k101_106105	57
k101_106109	417
k101_106111	61
k101_106116	156
k101_106121	70
k101_106134	190
k101_106141	26
k101_106147	909
k101_106161	102
k101_106165	163
k101_10619	58
k101_106197	312
k101_106213	7340
k101_10622	8551
k101_10623	37
k101_106232	91
k101_106235	86
k101_10624	356
k101_106256	36
k101_10628	497
k101_10629	68
k101_106290	104
k101_106291	148
k101_106299	39
k101_1063	316
k101_10631	41
k101_10632	124
k101_106326	249
k101_106333	67
k101_106347	39
k101_10635	68
k101_106353	22
k101_106364	149
k101_1064	28
k101_106401	149
k101_106409	140
k101_10641	71
k101_106418	160
k101_10644	48
k101_10645	53
k101_106451	181
k101_106454	266
k101_10646	52
k101_106471	272
k101_106478	375
k101_106492	38
k101_106500	130485
k101_106504	101
k101_106505	27
k101_10651	4160
k101_106510	142
k101_10652	82
k101_106520	44
k101_106527	83
k101_106528	106
k101_10653	44
k101_106539	79
k101_10654	127
k101_106548	45
k101_106551	529
k101_106555	200
k101_106568	288
k101_106588	596
k101_106590	120
k101_106592	81
k101_106596	26
k101_106599	20610
k101_106606	133
k101_106609	46
k101_106619	121
k101_10662	42
k101_106634	173
k101_106649	97
k101_10665	86
k101_10666	581
k101_106660	124
k101_106675	108
k101_106683	302
k101_10670	75
k101_10672	288
k101_106728	140
k101_106743	33
k101_106746	681
k101_106753	3001
k101_106771	40817
k101_106773	487
k101_106795	26
k101_106801	732
k101_106823	69
k101_10684	267
k101_106866	222
k101_106873	87
k101_10688	80
k101_106882	76
k101_106883	1825
k101_106892	2465
k101_106893	32
k101_106907	138
k101_106912	714
k101_106914	396
k101_106917	62
k101_106937	92
k101_10694	40
k101_106950	33
k101_106955	71
k101_10696	1025
k101_106964	61
k101_106968	128
k101_10697	532
k101_106970	103
k101_10698	13967
k101_106985	178
k101_106990	3838
k101_107036	53
k101_107037	40
k101_10705	28
k101_107052	434
k101_107057	62
k101_107063	15603
k101_107065	22
k101_10707	110
k101_107075	34
k101_107082	141
k101_107098	344
k101_10711	24
k101_107111	103
k101_10712	102
k101_107127	66
k101_107131	114
k101_10715	50
k101_107163	23
k101_107167	46
k101_10717	206
k101_107171	20
k101_107172	231
k101_107175	21
k101_107179	52
k101_107189	239
k101_1072	217
k101_107200	24
k101_107201	291
k101_107210	54
k101_107217	202
k101_107218	42
k101_107224	423
k101_107225	38
k101_107250	108
k101_107254	118
k101_107258	380
k101_107298	49
k101_10730	158
k101_107301	236
k101_107304	488
k101_10731	216
k101_107310	77
k101_107317	69
k101_10733	25
k101_10734	70
k101_107350	357
k101_107365	107221
k101_107376	64
k101_107405	401
k101_107408	128
