contig	count
contig-100_459_3	3
contig-100_243_5	10
contig-100_5_28	2201
contig-100_284_4	1
contig-100_10_32	18
contig-100_454_1	3
contig-100_3_56	36
contig-100_18_19	61
contig-100_127_3	218
contig-100_510_2	1
contig-100_367_2	4
contig-100_447_2	83
contig-100_86_2	1214
contig-100_466_1	83
contig-100_115_1	10892
contig-100_192_2	146
contig-100_0_51	3660
contig-100_392_1	23
contig-100_9_7	4811
contig-100_6_21	3537
contig-100_37_3	1550
contig-100_15_24	409
contig-100_0_79	4320
contig-100_22_5	643077
contig-100_33_11	8
contig-100_80_3	3856
contig-100_497_1	38894
contig-100_0_4	11200
contig-100_9_10	4299
contig-100_393_1	16
contig-100_249_3	50
contig-100_0_88	2641
contig-100_220_3	1
contig-100_130_2	38816
contig-100_238_2	46
contig-100_35_10	301
contig-100_206_2	171
contig-100_274_1	204
contig-100_77_1	3182
contig-100_135_3	85
contig-100_21_23	86
contig-100_8_26	274
contig-100_184_2	106
contig-100_236_1	15680
contig-100_229_1	24879
contig-100_200_2	116
contig-100_15_4	124784
contig-100_33_15	43
contig-100_204_3	42
contig-100_1_28	5859
contig-100_8_47	265
contig-100_355_2	9
contig-100_35_6	1255
contig-100_0_5	22224
contig-100_48_1	66541
contig-100_3_62	619
contig-100_8_19	1207
contig-100_0_111	1074
contig-100_4_43	115
contig-100_151_1	616
contig-100_40_3	14216
contig-100_345_1	58
contig-100_10_1	53646
contig-100_7_4	42435
contig-100_535_1	17
contig-100_26_11	24
contig-100_90_2	325
contig-100_348_3	2
contig-100_293_3	6
contig-100_313_1	90
contig-100_16_21	1815
contig-100_154_2	54
contig-100_3_46	306
contig-100_142_1	1078
contig-100_353_2	35
contig-100_0_40	5439
contig-100_26_8	9122
contig-100_460_2	17
contig-100_38_5	1481
contig-100_96_1	12674
contig-100_414_2	5
contig-100_5_40	1191
contig-100_78_3	2109
contig-100_5_30	1390
contig-100_6_3	40523
contig-100_31_11	716
contig-100_59_7	8
contig-100_95_7	26
contig-100_3_63	102
contig-100_409_3	10
contig-100_46_8	704
contig-100_12_22	796
contig-100_128_3	56
contig-100_242_1	206
contig-100_88_4	51
contig-100_4_16	2033
contig-100_207_3	16
contig-100_1_23	2730
contig-100_102_5	1
contig-100_235_2	90
contig-100_72_1	7500
contig-100_343_2	13
contig-100_113_3	106
contig-100_161_3	247
contig-100_7_31	1188
contig-100_404_2	1
contig-100_114_5	37
contig-100_141_2	31024
contig-100_11_26	1267
contig-100_351_1	71
contig-100_13_8	7149
contig-100_26_7	2376
contig-100_390_1	8
contig-100_23_9	22525
contig-100_4_4	45732
contig-100_12_11	1674
contig-100_112_1	9318
contig-100_356_3	6
contig-100_176_1	21983
contig-100_231_2	65
contig-100_44_15	7
contig-100_52_3	567
contig-100_5_16	857
contig-100_275_1	49
contig-100_84_1	30680
contig-100_0_67	58892
contig-100_174_1	523
contig-100_158_4	14
contig-100_266_1	254
contig-100_0_47	6836
contig-100_277_3	258
contig-100_118_1	680
contig-100_73_2	1775
contig-100_219_2	141
contig-100_3_19	6812
contig-100_62_8	21
contig-100_67_1	168780
contig-100_352_1	41
contig-100_408_1	7
contig-100_41_4	1178
contig-100_30_3	42439
contig-100_32_10	15
contig-100_168_1	4249
contig-100_19_22	11
contig-100_301_2	23
contig-100_2_39	1353
contig-100_65_4	108
contig-100_1_58	861
contig-100_11_11	2649
contig-100_2_16	1817
contig-100_254_2	14
contig-100_158_1	106
contig-100_373_1	200
contig-100_15_8	18468
contig-100_9_42	1393
contig-100_187_2	516
contig-100_202_2	113
contig-100_178_5	45
contig-100_172_1	6910
contig-100_11_17	749
contig-100_14_1	29670
contig-100_156_1	268
contig-100_64_6	166
contig-100_3_29	1569
contig-100_58_3	226
contig-100_0_11	11681
contig-100_1_13	12448
contig-100_115_5	2
contig-100_2_19	908
contig-100_6_19	1432
contig-100_3_20	4580
contig-100_328_3	3
contig-100_4_54	777
contig-100_227_2	463
contig-100_544_2	57
contig-100_289_2	70
contig-100_3_59	414
contig-100_364_1	37
contig-100_13_20	71
contig-100_9_33	435
contig-100_321_2	21
contig-100_6_43	600
contig-100_145_5	15
contig-100_21_13	778
contig-100_97_5	4
contig-100_111_5	33
contig-100_301_1	51
contig-100_36_5	81031
contig-100_215_2	6
contig-100_197_2	47
contig-100_415_1	27
contig-100_41_13	1
contig-100_478_2	31
contig-100_62_10	27
contig-100_341_2	3
contig-100_31_10	56
contig-100_222_1	3027
contig-100_354_2	38078
contig-100_110_3	494
contig-100_1_43	1007
contig-100_1_67	2133
contig-100_268_1	72
contig-100_11_18	347
contig-100_61_4	243
contig-100_263_3	23
contig-100_54_1	28295
contig-100_150_1	201332
contig-100_166_2	50
contig-100_32_6	13429
contig-100_39_8	10138
contig-100_63_2	727
contig-100_316_2	73
contig-100_50_2	133948
contig-100_0_13	7050
contig-100_16_26	39
contig-100_182_3	34
contig-100_44_11	7
contig-100_157_2	79
contig-100_374_2	11
contig-100_27_13	6
contig-100_8_33	2019
contig-100_294_2	2555
contig-100_204_2	33
contig-100_54_6	127082
contig-100_119_5	25
contig-100_126_1	7930
contig-100_1_61	2183
contig-100_8_7	18967
contig-100_62_1	453
contig-100_2_75	544
contig-100_147_3	159
contig-100_507_2	10
contig-100_23_2	127659
contig-100_71_4	101
contig-100_5_55	838
contig-100_18_14	355
contig-100_96_4	46
contig-100_134_5	5
contig-100_78_6	38
contig-100_98_10	22
contig-100_17_11	1267
contig-100_512_2	32
contig-100_424_1	1079
contig-100_0_58	1728
contig-100_22_15	13
contig-100_0_26	13703
contig-100_489_1	2624
contig-100_92_5	30
contig-100_1_71	103
contig-100_81_2	6634
contig-100_6_17	1552
contig-100_7_16	2851
contig-100_366_2	8
contig-100_36_15	15
contig-100_0_37	4569
contig-100_281_2	209
contig-100_91_7	39
contig-100_148_4	20
contig-100_11_32	983
contig-100_1_10	5662
contig-100_16_6	31036
contig-100_0_99	421
contig-100_7_28	2373
contig-100_24_12	260
contig-100_138_2	4072
contig-100_2_21	3169
contig-100_3_8	25326
contig-100_0_109	703
contig-100_2_55	1379
contig-100_4_32	1721
contig-100_118_6	3
contig-100_102_4	45
contig-100_303_4	2
contig-100_49_8	92
contig-100_1_78	656
contig-100_5_3	44513
contig-100_57_3	802
contig-100_305_2	25
contig-100_43_3	44197
contig-100_6_41	209
contig-100_31_9	21
contig-100_71_6	11
contig-100_19_21	43
contig-100_48_6	4190
contig-100_400_3	7
contig-100_12_18	687
contig-100_6_31	4927
contig-100_317_3	72
contig-100_0_54	3268
contig-100_105_5	19
contig-100_307_2	36
contig-100_0_103	840
contig-100_109_2	32161
contig-100_20_4	8610
contig-100_347_1	69
contig-100_29_8	190
contig-100_4_37	1643
contig-100_45_5	1856
contig-100_37_11	21
contig-100_10_11	3597
contig-100_183_1	99
contig-100_170_1	5454
contig-100_126_2	1796
contig-100_17_1	107390
contig-100_0_81	23708
contig-100_412_1	32
contig-100_398_2	8
contig-100_186_2	89
contig-100_6_12	8131
contig-100_496_2	11
contig-100_1_1	6807
contig-100_53_2	4742
contig-100_337_2	12
contig-100_150_6	29243
contig-100_252_4	2
contig-100_31_6	633
contig-100_339_1	82
contig-100_8_23	804
contig-100_525_2	9
contig-100_44_3	704
contig-100_253_2	349
contig-100_285_3	10
contig-100_2_33	1930
contig-100_378_1	38
contig-100_99_3	382
contig-100_3_43	2446
contig-100_513_2	9
contig-100_1_7	8144
contig-100_15_12	115012
contig-100_298_4	2
contig-100_444_1	3477
contig-100_70_4	262
contig-100_3_1	26803
contig-100_2_28	2290
contig-100_19_17	211
contig-100_34_2	6846
contig-100_60_4	507
contig-100_201_2	38
contig-100_244_5	3
contig-100_27_3	22108
contig-100_241_4	2
contig-100_121_6	5
contig-100_9_46	73
contig-100_14_27	29
contig-100_319_1	60
contig-100_259_3	26
contig-100_15_17	311
contig-100_107_2	291
contig-100_526_2	203
contig-100_505_3	36
contig-100_376_2	12
contig-100_224_1	230
contig-100_14_13	352
contig-100_117_3	17
contig-100_143_4	28
contig-100_9_14	2903
contig-100_247_4	29
contig-100_18_9	1576
contig-100_16_18	217
contig-100_2_17	1082
contig-100_217_2	157
contig-100_20_18	271
contig-100_451_3	1
contig-100_536_1	12
contig-100_271_2	60
contig-100_4_71	181
contig-100_271_1	35
contig-100_250_1	4907
contig-100_51_7	118
contig-100_42_3	73152
contig-100_60_7	6
contig-100_0_97	436
contig-100_6_37	212
contig-100_2_24	702
contig-100_22_24	1242
contig-100_473_1	15
contig-100_25_2	68890
contig-100_293_2	20
contig-100_11_9	2164
contig-100_203_4	118
contig-100_3_13	15672
contig-100_13_6	14354
contig-100_2_61	421
contig-100_375_1	34
contig-100_7_9	50258
contig-100_50_5	988
contig-100_18_12	439
contig-100_185_3	19
contig-100_54_2	14425
contig-100_2_42	1263
contig-100_42_4	149394
contig-100_196_2	119
contig-100_6_32	779
contig-100_439_2	1
contig-100_9_38	356
contig-100_463_2	122
contig-100_21_16	3167
contig-100_28_12	19
contig-100_421_2	1
contig-100_29_5	31397
contig-100_17_5	2710
contig-100_153_5	7
contig-100_0_60	3421
contig-100_22_4	54371
contig-100_121_4	470
contig-100_116_6	2
contig-100_20_12	1314
contig-100_0_72	21332
contig-100_13_17	130
contig-100_69_5	12
contig-100_10_5	3819
contig-100_137_4	3
contig-100_23_13	1736
contig-100_166_4	350
contig-100_20_11	1794
contig-100_108_4	43
contig-100_169_3	12
contig-100_170_3	263
contig-100_485_1	496
contig-100_292_1	515
contig-100_26_3	47754
contig-100_40_10	35
contig-100_7_37	863
contig-100_21_2	1874
contig-100_163_4	3
contig-100_333_3	3
contig-100_20_9	631
contig-100_442_3	2
contig-100_144_3	31
contig-100_26_4	103805
contig-100_0_44	9946
contig-100_98_2	260
contig-100_18_20	90
contig-100_363_2	28
contig-100_78_4	12
contig-100_228_2	99
contig-100_14_15	514
contig-100_5_8	2956
contig-100_182_1	2433
contig-100_350_4	58
contig-100_0_35	12910
contig-100_431_2	12
contig-100_371_3	2
contig-100_5_53	519
contig-100_7_30	1154
contig-100_243_3	9
contig-100_123_1	1522
contig-100_379_1	31
contig-100_101_2	1610
contig-100_185_2	8352
contig-100_205_3	36
contig-100_76_3	5087
contig-100_100_2	8451
contig-100_411_1	32
contig-100_66_7	67
contig-100_0_56	4409
contig-100_408_4	5
contig-100_11_3	17433
contig-100_0_28	9942
